Date,Open
03/01/2022,177.830002
04/01/2022,182.630005
05/01/2022,179.610001
06/01/2022,172.699997
07/01/2022,172.889999
10/01/2022,169.080002
11/01/2022,172.320007
12/01/2022,176.119995
13/01/2022,175.779999
14/01/2022,171.339996
18/01/2022,171.509995
19/01/2022,170
20/01/2022,166.979996
21/01/2022,164.419998
24/01/2022,160.020004
25/01/2022,158.979996
26/01/2022,163.5
27/01/2022,162.449997
28/01/2022,165.710007
31/01/2022,170.160004
01/02/2022,174.009995
02/02/2022,174.75
03/02/2022,174.479996
04/02/2022,171.679993
07/02/2022,172.860001
08/02/2022,171.729996
09/02/2022,176.050003
10/02/2022,174.139999
11/02/2022,172.330002
14/02/2022,167.369995
15/02/2022,170.970001
16/02/2022,171.850006
17/02/2022,171.029999
18/02/2022,169.820007
22/02/2022,164.979996
23/02/2022,165.539993
24/02/2022,152.580002
25/02/2022,163.839996
28/02/2022,163.059998
01/03/2022,164.699997
02/03/2022,164.389999
03/03/2022,168.470001
04/03/2022,164.490005
07/03/2022,163.360001
08/03/2022,158.820007
09/03/2022,161.479996
10/03/2022,160.199997
11/03/2022,158.929993
14/03/2022,151.449997
15/03/2022,150.899994
16/03/2022,157.050003
17/03/2022,158.610001
18/03/2022,160.509995
21/03/2022,163.509995
22/03/2022,165.509995
23/03/2022,167.990005
24/03/2022,171.059998
25/03/2022,173.880005
28/03/2022,172.169998
29/03/2022,176.690002
30/03/2022,178.550003
31/03/2022,177.839996
01/04/2022,174.029999
04/04/2022,174.570007
05/04/2022,177.5
06/04/2022,172.360001
07/04/2022,171.160004
08/04/2022,171.779999
11/04/2022,168.710007
12/04/2022,168.020004
13/04/2022,167.389999
14/04/2022,170.619995
18/04/2022,163.919998
19/04/2022,165.020004
20/04/2022,168.759995
21/04/2022,168.910004
22/04/2022,166.460007
25/04/2022,161.119995
26/04/2022,162.25
27/04/2022,155.910004
28/04/2022,159.25
29/04/2022,161.839996
02/05/2022,156.710007
03/05/2022,158.149994
04/05/2022,159.669998
05/05/2022,163.850006
06/05/2022,156.009995
09/05/2022,154.929993
10/05/2022,155.520004
11/05/2022,153.5
12/05/2022,142.770004
13/05/2022,144.589996
16/05/2022,145.550003
17/05/2022,148.860001
18/05/2022,146.850006
19/05/2022,139.880005
20/05/2022,139.089996
23/05/2022,137.789993
24/05/2022,140.809998
25/05/2022,138.429993
26/05/2022,137.389999
27/05/2022,145.389999
31/05/2022,149.070007
01/06/2022,149.899994
02/06/2022,147.830002
03/06/2022,146.899994
06/06/2022,147.029999
07/06/2022,144.350006
08/06/2022,148.580002
09/06/2022,147.080002
10/06/2022,140.279999
13/06/2022,132.869995
14/06/2022,133.130005
15/06/2022,134.289993
16/06/2022,132.080002
17/06/2022,130.070007
21/06/2022,133.419998
22/06/2022,134.789993
23/06/2022,136.820007
24/06/2022,139.899994
27/06/2022,142.699997
28/06/2022,142.130005
29/06/2022,137.460007
30/06/2022,137.25
01/07/2022,136.039993
05/07/2022,137.770004
06/07/2022,141.350006
07/07/2022,143.289993
08/07/2022,145.259995
11/07/2022,145.669998
12/07/2022,145.759995
13/07/2022,142.990005
14/07/2022,144.080002
15/07/2022,149.779999
18/07/2022,150.740005
19/07/2022,147.919998
20/07/2022,151.119995
21/07/2022,154.5
22/07/2022,155.389999
25/07/2022,154.009995
26/07/2022,152.259995
27/07/2022,152.580002
28/07/2022,156.979996
29/07/2022,161.240005
01/08/2022,161.009995
02/08/2022,160.100006
03/08/2022,160.839996
04/08/2022,166.009995
05/08/2022,163.210007
08/08/2022,166.369995
09/08/2022,164.020004
10/08/2022,167.679993
11/08/2022,170.059998
12/08/2022,169.820007
15/08/2022,171.520004
16/08/2022,172.779999
17/08/2022,172.770004
18/08/2022,173.75
19/08/2022,173.029999
22/08/2022,169.690002
23/08/2022,167.080002
24/08/2022,167.320007
25/08/2022,168.779999
26/08/2022,170.570007
29/08/2022,161.149994
30/08/2022,162.130005
31/08/2022,160.309998
01/09/2022,156.639999
02/09/2022,159.75
06/09/2022,156.470001
07/09/2022,154.820007
08/09/2022,154.639999
09/09/2022,155.470001
12/09/2022,159.589996
13/09/2022,159.899994
