Date,Open
28/12/2020,133.990005
29/12/2020,138.050003
30/12/2020,135.580002
31/12/2020,134.080002
04/01/2021,133.520004
05/01/2021,128.889999
06/01/2021,127.720001
07/01/2021,128.360001
08/01/2021,132.429993
11/01/2021,129.190002
12/01/2021,128.5
13/01/2021,128.759995
14/01/2021,130.800003
15/01/2021,128.779999
19/01/2021,127.779999
20/01/2021,128.660004
21/01/2021,133.800003
22/01/2021,136.279999
25/01/2021,143.070007
26/01/2021,143.600006
27/01/2021,143.429993
28/01/2021,139.520004
29/01/2021,135.830002
01/02/2021,133.75
02/02/2021,135.729996
03/02/2021,135.759995
04/02/2021,136.300003
05/02/2021,137.350006
08/02/2021,136.029999
09/02/2021,136.619995
10/02/2021,136.479996
11/02/2021,135.899994
12/02/2021,134.350006
16/02/2021,135.490005
17/02/2021,131.25
18/02/2021,129.199997
19/02/2021,130.240005
22/02/2021,128.009995
23/02/2021,123.760002
24/02/2021,124.940002
25/02/2021,124.68
26/02/2021,122.589996
01/03/2021,123.75
02/03/2021,128.410004
03/03/2021,124.809998
04/03/2021,121.75
05/03/2021,120.980003
08/03/2021,120.93
09/03/2021,119.029999
10/03/2021,121.690002
11/03/2021,122.540001
12/03/2021,120.400002
15/03/2021,121.410004
16/03/2021,125.699997
17/03/2021,124.050003
18/03/2021,122.879997
19/03/2021,119.900002
22/03/2021,120.330002
23/03/2021,123.330002
24/03/2021,122.82
25/03/2021,119.540001
26/03/2021,120.349998
29/03/2021,121.650002
30/03/2021,120.110001
31/03/2021,121.650002
01/04/2021,123.660004
05/04/2021,123.870003
06/04/2021,126.5
07/04/2021,125.830002
08/04/2021,128.949997
09/04/2021,129.800003
12/04/2021,132.520004
13/04/2021,132.440002
14/04/2021,134.940002
15/04/2021,133.820007
16/04/2021,134.300003
19/04/2021,133.509995
20/04/2021,135.020004
21/04/2021,132.360001
22/04/2021,133.039993
23/04/2021,132.160004
26/04/2021,134.830002
27/04/2021,135.009995
28/04/2021,134.309998
29/04/2021,136.470001
30/04/2021,131.779999
03/05/2021,132.039993
04/05/2021,131.190002
05/05/2021,129.199997
06/05/2021,127.889999
07/05/2021,130.850006
10/05/2021,129.410004
11/05/2021,123.5
12/05/2021,123.400002
13/05/2021,124.580002
14/05/2021,126.25
17/05/2021,126.82
18/05/2021,126.559998
19/05/2021,123.160004
20/05/2021,125.230003
21/05/2021,127.82
24/05/2021,126.010002
25/05/2021,127.82
26/05/2021,126.959999
27/05/2021,126.440002
28/05/2021,125.57
01/06/2021,125.080002
02/06/2021,124.279999
03/06/2021,124.68
04/06/2021,124.07
07/06/2021,126.169998
08/06/2021,126.599998
09/06/2021,127.209999
10/06/2021,127.019997
11/06/2021,126.529999
14/06/2021,127.82
15/06/2021,129.940002
16/06/2021,130.369995
17/06/2021,129.800003
18/06/2021,130.710007
21/06/2021,130.300003
22/06/2021,132.130005
23/06/2021,133.770004
24/06/2021,134.449997
25/06/2021,133.460007
28/06/2021,133.410004
29/06/2021,134.800003
30/06/2021,136.169998
01/07/2021,136.600006
02/07/2021,137.899994
06/07/2021,140.070007
